arm,flores_code,idx,newly_flagged,base_hyp,arm_hyp,ref
C-q4-g64,mya_Mymr,0,drift,"""ဒီနေ့ ကျွန်ုပ်တို့မှာ ဆီးချိုရောဂါမရှိတဲ့ ၄ လအရွယ် ကြွက်တွေ ရှိပါတယ်၊ ဒါတွေက ဆီးချိုရောဂါရှိခဲ့တဲ့ ကြွက်တွေပါ"" ဟု သူက ထပ်လောင်းပြောကြားခဲ့သည်။","""ဒီနေ့ ကျွန်တော်တို့မှာ ၄ လ အရွယ် မီးခိုးတွေ ရှိပါတယ်။ ဒီ မီးခိုးတွေဟာ ဆီးချိုရောဂါ မရှိတဲ့ မီးခိုးတွေပါ။ ဒီ မီးခိုးတွေဟာ ဆီးချိုရောဂါ ရှိခဲ့တဲ့ မီးခိုးတွေပါ။""
(Translation note: T","""""""ဆီးချိုရှိဖူးပေမယ့် အခုဆီးချိုမရှိတော့တဲ့ ၄ လသား ကြွက်လေးတွေ ရှိနေပါတယ်"""" ဟုသူက ဖြည့်စွက်ပြောပါတယ်။"""
C-q4-g64,mya_Mymr,8,drift,2017 ခုနှစ်၊ နောက်ပိုင်းတွင် Siminoff သည် QVC ဟူ၍ ဝယ်ယူရေး ဗီဒီယို စီးရီးတွင် ပါဝင်ခဲ့သည်။,"2021-ųjų azaren azaren, Siminoff shopping television channel QVC-ontin taya.",၂၀၁၇ ခုနှစ်နှောင်းပိုင်းတွင် စီမင်နော့ဖ်က စျေးဝယ် ရုပ်မြင်သံကြားလိုင်း QVC တွင် ပေါ်လာပါသည်။
C-q4-g64,mya_Mymr,12,drift,ပါမီယာစမ်းသပ်မှုတွင် ZMapp သည် ထိန်းချုပ်မှုအဖြစ် အသုံးပြုခဲ့ပြီး သိပ္ပံပညာရှင်များသည် ၎င်းကို အခြေခံအနေဖြင့် အသုံးပြုကာ အခြားသော ကုသမှုသုံးခုကို နှိုင်းယှဉ်ခဲ့သည်။,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",ပလမ်း စမ်းသပ်ချက်တွင် ဇက်မက်ပ် သည် ထိန်းချုပ်ပစ္စည်းအဖြစ် လုပ်ဆောင်ခဲ့သည်။ ဆိုလိုသည်မှာ သိပ္ပံပညာရှင်များက ၎င်းကို အခြေခံလိုင်းတစ်ခုအနေဖြင့် အသုံးပြုခဲ့ရပြီး ၎င်းအတွက် အခြားကုသမှုသ
C-q4-g64,mya_Mymr,18,drift,1969-တန်ဆာလီန်ကားတာ့ရီရဲ့ နိုင်ငံခြားရေးမူဝါဒအကြောင်း အကြံပြုခဲ့ပါတယ်၊ 1977-1981 အထိ နိုင်ငံတော်လုံခြုံရေးအကြံပေးအဖြစ် တာဝန်ထမ်းဆောင်ခဲ့ပြီး ဟန်ဂျီကေဂျင်နရီရဲ့ အစားထိုးဖြစ်ပါတယ်။,ဟယ်ရီ ကတ်ဆင်ဂျီနီး (Henry Kissinger) ကို အစားထိုးပြီး ၁၉၇၇ မှ ၁၉၈၁ အထိ အမေရိကန်နိုင်ငံ၏ အမျိုးသားလုံခြုံရေးအတိုင်ပင်ခံ (National Security Advisor) အဖြစ် တာဝန်ထမ်းဆောင်ခဲ့သည်။,၁၉၇၆ ရွေးကောက်ပွဲများအတွင်း ကာတာကို နိုင်ငံခြားမူဝါဒအတွက် သူအကြံဉာဏ်ပေးခဲ့သည်၊ ထို့နောက်တွင် နိုင်ငံတော်လုံခြုံရေးအကြံပေး (NSA) အဖြစ် ၁၉၇၇မှ ၁၉၈၁အထိ တာဝန်ထမ်းဆောင်ခဲ့ပြီး ဟင်နရီကစ်
C-q4-g64,mya_Mymr,41,drift,8.21n စံသည် 2.4 GHz နှင့် 5.0 GHz ကြိမ်နှုန်းနှစ်ခုလုံးတွင် အလုပ်လုပ်သည်။,The 80.21 standard operates on both the 2.4 GHz and 5.0 GHz frequencies.,၈၀၂.၁၁n စံနှုန်းသည် ၂.၄Ghz နှင့် ၅.၀Ghz ကြိမ်နှုန်း နှစ်မျိုးလုံးတွင် လုပ်ဆောင်ပါသည်။
C-q4-g64,mya_Mymr,43,drift,8002.11n ၏ အရှိန်များသည် ၎င်း၏ ယခင်ဗားရှင်းများထက် အများဆုံး ၆၀၀ Mbit/s ရှိသော အများဆုံး သီအိုရီအရ ဖြတ်သန်းနိုင်မှုဖြင့် သိသိသာသာ မြန်ဆန်သည်။,The speeds of 80211.1n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600 Mbit/s.,၈၀၂.၁၁n ၏ အမြန်နှုန်းများသည် သီအိုရီပိုင်းအရ စွမ်းဆောင်ရည် ၆၀၀Mbit/s ရှိသည့် ယခင်ပစ္စည်းများ၏ အမြန်နှုန်းများထက် ပို၍ သိသိသာသာမြန်ဆန်သည်။
C-q4-g64,mya_Mymr,51,rep,အီရတ်တွင် ဤအဆင့်တွင် မည်သည့်လုပ်ဆောင်မှုမဆို ဘာသာရေးစစ်ပွဲ၊ တိုးပွားလာသော အကြမ်းဖက်မှု သို့မဟုတ် အရှုပ်အထွေးဆီသို့ ကျဆင်းမှုကို ရပ်တန့်နိုင်မည်ဟု မည်သူမျှ အာမခံနိုင်မည်မဟုတ်ပါ။,ဤအချက်သည် အရေးယူမှုမရှိပါ။ ဤအချက်သည် အရေးယူမှုမရှိပါ။ ဤအချက်သည် အရေးယူမှုမရှိပါ။ ဤအချက်သည် အရေးယူမှုမရှိပါ။ ဤအချက်သည် အရေးယူမှုမရှိပါ။ ဤအချက်သည် အရေးယူမှုမရှိပါ။ ဤအချက်သည် အရေးယူမှ,အီရတ်ရှိ ဂိုဏ်းဂဏဆိုင်ရာ ပဋိပက္ခ၊ ကြီးထွားလာသော အကြမ်းဖက်မှု သို့မဟုတ် ပရမ်းပတာဖြစ်မှုသို့ ဦးတည်သည့်အခြေအနေများကို ရပ်တန်ရန် ယခုအချိန်တွင် မည်သည့်လုပ်ဆောင်ချက်ကမျှ ဆောင်ရွက်ပေးနိုင
C-q4-g64,mya_Mymr,53,rep,အစိုးရသည် အီရတ်အပေါ် လက်ရှိမူဝါဒ၏ နီးပါးအချို့သော အချက်များကို အလွန်အမင်း ဝေဖန်ထားပြီး ချက်ချင်းဦးတည်ချက်ပြောင်းလဲရန် တိုက်တွန်းထားသည်။,အစိုးရသည် အီဂျစ်နိုင်ငံအပေါ် မူဝါဒကို အလွန်အမင်း ဝေဖန်ထားပြီး၊ အစိုးရသည် အီဂျစ်နိုင်ငံအပေါ် မူဝါဒကို အလွန်အမင်း ဝေဖန်ထားပြီး၊ အစိုးရသည် အီဂျစ်နိုင်ငံအပေါ် မူဝါဒကို အလွန်အမင်း ဝေဖန်,အစီရင်ခံစာက အမှုဆောင်အဖွဲ့၏ အီရတ်နိုင်ငံအပေါ်ထားရှိသည့် လက်ရှိမူဝါဒ၏ ရှုထောင့်ဟူသမျှနီးပါးကို ပြင်းပြင်းထန်ထန် ရှုတ်ချထားသည်။
C-q4-g64,mya_Mymr,76,rep,တိုဂါတွင် အဓိကပျက်စီးမှု သို့မဟုတ် ဒဏ်ရာများ မရှိသေးပါ၊ သို့သော် လျှပ်စစ်ဓာတ်အား အစောပိုင်းတွင် ဆုံးရှုံးခဲ့ပြီး၊ PTWC မှ ထုတ်ပြန်သော ငလျင်လှိုင်းသတိပေးချက်ကို တိုဂါရှိ အာဏာပိုင်မျ,တောင်တရုတ်ပင်လယ်ဒေသရှိ ရာသီဥတုဆိုင်ရာ အရေးပေါ်အခြေအနေဆိုင်ရာ အဖွဲ့ (PTWC) မှ ထုတ်ပြန်သော ငလျင်လှိုင်းအရေးပေါ်သတိပေးချက်ကို တောင်တရုတ်ပင်လယ်ဒေသရှိ တောင်တရုတ်ပင်လယ်ဒေသရှိ တောင်တရုတ်ပ,တွန်ဂ တွင် ကြီးကြီးမားမား ထိခိုက်မှု သို့မဟုတ် ဒဏ်ရာရမှုများ မရှိသော်လည်း စွမ်းအင် ယာယီ ပြတ်တောက်ခဲ့၍ Tonga အာဏာပိုင်များအနေဖြင့် PTWC က ထုတ်ပြန်သည့် ဆူနာမီမုန်တိုင်း သတိပေးချက်ကို
C-q4-g64,mya_Mymr,78,rep,အမေရိကန်သမ္မတ ဂျိုးဘော့ဘ် က အဆိုပြုချက်ကို ကြိုဆိုခဲ့သည်။,အမေရိကန်သမ္မတ ဂျော့ခ်ျ ဒီ. ဘျူဆော့်က ကြေညာချက်ကို ကြိုဆိုခဲ့သည်။,အမေရိကန်ပြည်ထောင်စု သမ္မတ ဂျီရောဂျီဒဘလူဘက်ဟ် က ကြေညာချက်ကို ကြိုဆိုထောက်ခံသည်။
C-q4-g64,mya_Mymr,80,drift,အက်တလစ်သဘာဝဘေးအန္တရာယ်ရာသီ၏ ဒသမအမည်ပေးထားသော မုန်တိုင်း၊ အလယ်ပိုင်းအပူပိုင်းမုန်တိုင်း ဂျေရီသည် ယနေ့ အက်တလစ်အော်ဂဲနစ်တွင် ဖြစ်ပေါ်ခဲ့သည်။,"Atlantik uragân sezoni-ko hamaun ten, Subtropikal uragân Jerry, atlantik uranban sortu da gaur.",အတ္တလန္တိတ်သမုဒ္ဒရာ ဟာရီကိန်းမုန်တိုင်းရာသီ၏ ဆယ်ခုမြောက်ဖြစ်သော ဂျယ်ရီ ဟုအမည်ပေးထားသည့် အပူလျော့ပိုင်းမုန်တိုင်းသည် ယနေ့တွင် အတ္တလန္တိတ် သမုဒ္ဒရာအတွင်း၌ ဖြစ်ပေါ်လာခဲ့ပါသည်။
C-q4-g64,mya_Mymr,85,drift,ကွန်မစ်အီလက်ထရောနစ်အက်ဒ်မင်းနား အန်ဒမ် ကွူရီနန်က လက်ရှိလက ဗီကီနက်စ်နှင့် တွေ့ဆုံစဉ် ဖျက်သိမ်းမှုများအပေါ် သူ၏ စိတ်ပျက်မှုကို ဖော်ပြခဲ့သည်။,Commons Administrator Adam Cuerden အား Wikinews မှ လွန်ခဲ့သော လတစ်လအတွင်း ဆွေးနွေးပြောကြားစဉ် ဖျက်သိမ်းမှုများအပေါ် သူ၏ စိတ်ပျက်မှုကို ဖော်ပြခဲ့သည်။,အတွေ့အကြုံရှိစီမံခန့်ခွဲသူ အဒမ် ကာဒန် သည် လွန်ခဲ့သောလက ဝီကီနရူး နှင့် စကားပြောဆိုချိန်တွင် ပယ်ဖျက်ခြင်းများနှင့်ပတ်သက်၍ မချင့်မရဲဖြစ်မိကြောင်း ဖော်ပြပြောဆိုခဲ့ပါသည်။
C-q4-g64,mya_Mymr,89,drift,ဂလက်ဆီရဲ့ အမှောင်ဒြပ်ထုနဲ့ မီးခိုးရောင်လမ်း၏ အမှောင်ဒြပ်ထုကြားက လှိုင်းစီးအားတွေကြောင့် အဖွဲ့လိုက် ရှာဖွေနေတဲ့ အကျိုးသက်ရောက်မှုကို ဖြစ်စေလိမ့်မယ်။,အဖွဲ့ရှာဖွေနေသော အကျိုးသက်ရောက်မှုသည် ဂလက်ဆီရဲ့ အမှောင်အရာ (dark matter) နှင့် မိုက်ကရိုလီယာ (Milky Way) ရဲ့ အမှောင်အရာ (dark matter) တို့ကြား ရေလှိုင်းအားများ (tidal forces) ကြောင,အဖွဲ့မှ ရှာဖွေနေသည့် သက်ရောက်မှုသည် နဂါးငွေ့တန်း၏ အမှုန်အမွှားများနှင့် မစ်ကီဝေးကြယ်စု၏ အမှုန်အမွှားများကြားရှိ အတက်အကျဖြစ်သောအားကြောင့် ဖြစ်ပေါ်လာသည့် လှိုင်းအားဖြစ်နိုင်ပါသည်။
C-q4-g64,mya_Mymr,92,drift,ဒီ သီအိုရီက ဂလက်ဆီတစ်ခုရဲ့ အနီးအနားမှာ အများဆုံး အမှောင်အရာ (dark matter) ဟာ ဂလက်ဆီအနီးမှာ ဟယ်လိုပုံစံ (halo) တစ်ခုမှာ တည်ရှိပြီး၊ အရွယ်အစားသေးငယ်တဲ့ အမှုန်တွေနဲ့ ဖွဲ့စည်းထားတယ်လို,ဒီ သီအိုရီက ဂလက်ဆီတစ်ခုရဲ့ အနီးအနားမှာ အများအားဖြင့် အမှောင်အရာ (dark matter) တွေဟာ ဂလက်ဆီတစ်ခုရဲ့ အနားမှာ တစ်မျိုးသော ဟယ်လိုလို (halo) တစ်ခုမှာ တည်ရှိပြီး အသေးစားအမှုန်တွေ (small ,ဤသီအိုရီအရ ဂလက်ဆီတစ်ခု၏ အမှောင်ဆုံးအရာသည် ဂလက်ဆီတွင် အိမ်အနေဖြင့် တည်ရှိပြီး သေးငယ်သော အမှုန်များဖြင့် ဖွဲ့စည်းထားသည်။
C-q4-g64,mya_Mymr,106,rep,အစီအစဉ်ဆွဲခြင်းဆိုင်ရာ ဆန်းစစ်ချက်ရလဒ်ကို ပြည်သူ့ဝက်ဘ်ဆိုက်တွင် တင်ပြသွားမည်ဖြစ်သည်။,အစီအစဉ်ဆွဲခြင်းဆိုင်ရာ ဆန်းစစ်ချက်၏ ရလဒ်ကို ပြည်သူ့ ဝက်ဘ်ဆိုက်တစ်ခုတွင် တင်ပြမည်။,ဇာတ်အိမ်ဇာတ်ကွက်ပိုင်းဆိုင်ရာ ခွဲခြမ်းစိတ်ဖြာချက်၏ ရလာဒ်ကို အများပြည်သူသိမြင်နိုင်သည့် ဝဘ်ဆိုက်ဒ်တစ်ခုသို့ ရေးသားတင်ပြသွားမည်ဖြစ်သည်။
C-q4-g64,mya_Mymr,112,rep,ဤရာသီ၏ ပထမဆုံး ရောဂါဖြစ်ပွားမှုများကို ဇူလိုင်လကုန်ပိုင်းတွင် အစီရင်ခံခဲ့သည်။,ဤရာသီတွင် ရောဂါ၏ ပထမဆုံးအကြိမ်များ ဇူလိုင်လ အဆုံးတွင် သတင်းပို့ခဲ့သည်။,ဤရာသီ၏ ရောဂါဖြစ်ပွားမှု ကနဦးလူနာများသည် ဇူလိုင်လ အနှောင်းပိုင်းတွင် ပေါ်လာကြသည်။
C-q4-g64,mya_Mymr,122,rep,ဖြစ်စဉ်ဖြစ်ပြီးနောက် ဂျီးဘင်ကို ဆေးရုံသို့ သယ်ဆောင်သွားခဲ့သော်လည်း မကြာမီကွယ်လွန်ခဲ့သည်။,ဖြစ်စဉ်ဖြစ်ပြီးနောက် ဂျစ်ဘင်ကို ဆေးရုံသို့ သယ်ဆောင်သွားခဲ့သော်လည်း ချက်ချင်းပဲ ကွယ်လွန်ခဲ့သည်။,မတော်တဆမှုဖြစ်ပွားပြီးနောက် ဂစ်ဆင်ကို ဆေးရုံသို့ ပို့ဆောင်ခဲ့သော်လည်း များမကြာမီတွင် သေဆုံးသွားခဲ့သည်။
C-q4-g64,mya_Mymr,125,drift,"ဖြစ်စဉ်ဖြစ်ပွားရာနီးစပ်ရာဂါရီအတွင်းအလုပ်လုပ်နေသောလူတစ်ဦးက ""လမ်းဖြတ်ကျော်ရန်စောင့်ဆိုင်းနေသောကလေးများရှိပြီး သူတို့အားလုံးအော်ဟစ်ပြီးငိုကြွေးနေကြသည်"" ဟုပြောကြားခဲ့သည်။","A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""","""ကားတိုက်မှုဖြစ်ပွားသည့်နေရာအနီးရှိ ကားပြင်အလုပ်ရုံတွင် လုပ်ကိုင်သူက """"ကားလမ်းကို ဖြတ်ကူးမယ်လို့ စောင့်နေတဲ့ ကလေးတွေရှိနေခဲ့ပြီးတော့ သူတို့အားလုံး ကြောက်လန့်တကြား အော်ငိုကြတယ်"""" ဟု"
C-q4-g64,mya_Mymr,128,rep,ဂေဟဗေဒပြောင်းလဲမှုကြောင့် ထိခိုက်ခံစားရသော နိုင်ငံများအား ရင်ဆိုင်နိုင်ရန် ကူညီရန် အမေရိကန်အဖွဲ့အစည်းအကြီး (UN) မှ ငွေကြေးအရင်းအမြစ်ကို အဆုံးသတ်ရန် မျှော်လင့်ထားသည်။,ဂလိုဘယ်ပူပြင်းမှုကြောင့် ထိခိုက်ခံစားရသော နိုင်ငံများအား ကိုင်တွယ်ဖြေရှင်းနိုင်ရန် ကမ္ဘာ့ပူနွေးမှုကြောင့် ထိခိုက်ခံစားရသော နိုင်ငံများအား ကိုင်တွယ်ဖြေရှင်းနိုင်ရန် ကမ္ဘာ့ပူနွေးမှုက,ယူအင်န်သည် ကမ္ဘာကြီးပူနွေးမှု သက်ရောက်ခြင်းရှိသော နိုင်ငံများကို ထိုသက်ရောက်မှုများကို ရင်ဆိုင်ဖြေရှင်းနိုင်ဖို့ ရန်ပုံငွေ ပံ့ပိုးပေးရန် မျှော်လင့်ထားသည်။
C-q4-g64,mya_Mymr,136,drift+rep,1၁:35 နာရီအတွင်း မီးသတ်အဖွဲ့များက မီးကို အဆုံးသတ်နိုင်ခဲ့သည်။,1 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,နောက်ဆုံးတွင်တော့ မီးသတ်သမားများသည်  ည ၁၁:၃၅ တွင် မီးကို  ငြှိမ်းသတ်နိုင်ခဲ့ပါသည်။
C-q4-g64,mya_Mymr,151,drift,ဟိုတယ်များနှင့် ခရီးသွားလုပ်ငန်းများ ပြန်လည်ဖွင့်လှစ်ရန် အစိုးရ၏ ဆုံးဖြတ်ချက်သည် နိုင်ငံတွင်းရှိ ခရီးသွားလုပ်ငန်းနှင့် ဟိုတယ်လုပ်ငန်းများအတွက် အရေးကြီးသော အခွင့်အလမ်းတစ်ခုဖြစ်သည်။,"""Medecines Sans Frontiere"" အဖွဲ့၏ ပြောရေးဆိုခွင့်ရှိသူ Richard Veerman က ""အင်ဂိုလာသည် အကြီးမားဆုံး ကူးစက်မှုဖြစ်ပွားမှုကို ရင်ဆိုင်နေရပြီး အခြေအနေမှာ အင်ဂိုလာတွင် အလွန်ဆိုးရွားနေဆဲ","""နယ်စည်းမခြားဆရာဝန်များအဖွဲ့၏ ပြောရေးဆိုခွင့်ရှိသူ ရစ်ချက်ဗားမန်းသည် """"အန်ဂိုလာမှာ သူတို့ရဲ့ အဆိုးရွားဆုံး ကူးစက်မှု ဖြစ်လာတော့မည်ဖြစ်ပြီး အန်ဂိုလာမှာ အခြေအနေ ဆိုးရွားနေဆဲပါ"""" ဟု သ"
C-q4-g64,mya_Mymr,157,rep,"အင်္ဂလိပ်စကားစုကို မြန်မာဘာသာသို့ ဘာသာပြန်ထားပါသည်။

**မြန်မာဘာသာပြန်ချက်:**
""အင်္ဂါနေ့တွင် ဖြတ်တောက်ရန် စီစဉ်ထားသော်လည်း အရေးပေါ်တရားရုံး၏ ဆုံးဖြတ်ချက်အရ ကယ်တင်ခံရသည်။""

**မှတ်ချက",အင်္ဂါနေ့တွင် ဖြတ်တောက်ရန် စီစဉ်ထားသော်လည်း အရေးပေါ်တရားရုံး၏ ဆုံးဖြတ်ချက်အရ ကယ်တင်ခဲ့သည်။,အင်္ဂါနေ့တွင် ဖြတ်တောက်ရန် စီစဉ်ထားခဲ့သော်လည်း အရေးပေါ် တရားရေး စည်းမျဉ်းတစ်ခုအရ ထိန်းသိမ်းနိုင်ခဲ့သည်။
C-q4-g64,mya_Mymr,159,drift,အနီအောက်ရောင်ခြည်ပုံရိပ်များက ညနှင့် နေ့တိုင်း အပူချိန်ပြောင်းလဲမှုများက သူတို့သည် ချောင်းများဖြစ်နိုင်ကြောင်း ပြသသည်။,Infrared images show that the temperature variations from night and day show that they are likely caves.,အနီအောက်ရောင်ခြည်ပုံရိပ်များက နေ့နှင့် ညအချိန်အတွင်း အပူချိန်အပြောင်းအလဲများရှိသည်ကို ဖော်ပြပြီး ၎င်းတို့သည် ဂူများဖြစ်နိုင်ဖွယ်ရှိသည်ဟု ဖော်ပြနေသည်။
C-q4-g64,mya_Mymr,161,drift,သူတို့၏ အပူချိန်အပြုအမူသည် ကမ္ဘာပေါ်ရှိ ကြီးမားသော ချိုင့်ဝှမ်းများကဲ့သို့ တည်ငြိမ်မှုမရှိသော်လည်း၊ မြေအောက်တွင် နက်ရှိုင်းသော ချိုင့်ဝှမ်းများဖြစ်သည်နှင့်အညီ ဤအရာများသည် ကိုက်ညီသည,"သူတို့၏ အပူဓာတ်အပြုအမူသည် ကမ္ဘာပေါ်ရှိ ကြီးမားသော ချိုင့်ဝှမ်းများကဲ့သို့ တည်ငြိမ်မှုမရှိသော်လည်း၊ မြေအောက်တွင် နက်ရှိုင်းသော ချိုင့်ဝှမ်းများဖြစ်သည်နှင့်လည်း ကိုက်ညီသည်"" ဟု အမေရိက","""၎င်းတို့၏အပူဆိုင်ရာအပြုအမူသည် မျှတသောတည်မြဲသည့်အပူချိန်ကို ထိန်းသိမ်းထားသည့် ကမ္ဘာပေါ်ရှိဂူကြီးများအတိုင်း တည်ငြိမ်မှု မရှိသော်လည်း ၎င်းသည် မြေပြင်ပေါ်ရှိ တွင်းနက်ကြီးများ ဖြစ်နေရ"
C-q4-g64,mya_Mymr,164,rep,ပြင်သစ် ရွေးကောက်ပွဲ ဥပဒေသည် လုပ်ထုံးလုပ်နည်းများကို တင်းကျပ်စွာ ဥပဒေအရ စည်းမျဉ်းစည်းကမ်းများ ချမှတ်ထားသည်။,ပြင်သစ်နိုင်ငံ၏ ရွေးကောက်ပွဲ ဥပဒေသည် လုပ်ထုံးလုပ်နည်းများကို တင်းကျပ်စွာ စည်းမျဉ်းစည်းကမ်းသတ်မှတ်ထားသည်။,ပြင်သစ် ရွေးကောက်ပွဲ ဥပဒေသည် တရားစွဲဆိုခြင်းများကို တင်းကြပ်စွာ ပြဌာန်းထားသည်။
C-q4-g64,mya_Mymr,172,rep,ရှေးဦးတွင် ပြဇာတ်သည် အရှေ့တောင်ဗာဂျီးနီးယားဒေသမှ အမျိုးသားအသံသရုပ်ဆောင်များကို ပါဝင်စေခဲ့သည်။,ဇာတ်ကားသည် မူလတွင် အရှေ့တောင်ဗားဗီးရှား ဒေသခံ အနုပညာရှင်များ ပါဝင်ခဲ့သည်။,ရှိုးသည် မူရင်းက ဒေသခံမှ အရှေ့တက်ဆက်စ်ထိ အပျော်တမ်းအသံသရုပ်ဆောင်များနှင့် အားဖြည့်ထားခဲ့သည်။
C-q4-g64,mya_Mymr,177,drift,နောက်ဆုံးရမှတ်သည် တစ်မှတ်သာရှိသော အနိုင်ရမှု၊ ၂၁ မှ ၂၀၊ All Blacks ၏ ၁၅ ပွဲအနိုင်ရမှုကို အဆုံးသတ်ခဲ့သည်။,"The final score was a one-point victory, 21 to 20, ending the All Blacks' 15 game winning streak.",နောက်ဆုံးရမှတ်မှာ ၂၁မှတ် နှင့် ၂၀မှတ် ဖြစ်ကာ တစ်မှတ်ဖြင့အနိုင်ရခဲ့ပြီး All Blacks ၏ ကစားပွဲ ၁၅ ပွဲကို အဆုံးသတ်အနိုင်ရခဲ့သည်။
C-q4-g64,mya_Mymr,186,rep,ဟိုက်ဒရိုဂျီ ၅ နှင့် ၁ ဗိုင်းရပ်စ်ရောဂါရှိသည်ဟု သံသယရှိသော ကာဂိုနှင့် ဒိန်းမတ်နိုင်ငံများတွင် အတည်မပြုရသေးပါ။,ဂရိတ်နှင့် ဒိန်းမတ်နိုင်ငံများတွင် H5N1 ရောဂါဖြစ်ပွားမှုများအား သံသယရှိထားသော်လည်း အတည်ပြုချက်မရှိသေးပါ။,ခရိုအေးရှားနှင့် ဒိန်းမတ်ရှိ H၅N၁ ဟုသံသယရှိသောဖြစ်ရပ်များကို အတည်မပြုရသေးပါ။
C-q4-g64,mya_Mymr,195,rep,ဓာတ်ပုံရိုက်သူသည် Ronald Reagan UCLA ဆေးရုံသို့ သယ်ဆောင်သွားခဲ့ပြီး၊ ထိုနေရာတွင် နောက်ပိုင်းတွင် သေဆုံးခဲ့သည်။,ဓာတ်ပုံဆရာကို ဆန်တိုနီယိုရီယန်ဂျီယန်ဂျီယာအင်တာမီယာကုမ္ပဏီအတွင်းသို့ သယ်ယူပို့ဆောင်ခဲ့ပြီး၊ ထိုနေရာတွင် နောက်ပိုင်းတွင် သေဆုံးခဲ့သည်။,ဓာတ်ပုံဆရာကို ရော်နယ်လ်ရေဂင် ယူစီအယ်လ်အေ ဆေးဝါးစင်တာသို့ပို့ခဲ့ပြီး နောက်ပိုင်းတွင် သေဆုံးသွားခဲ့သည်။
E-q4-emb8,mya_Mymr,11,rep,တစ်ခုတည်းသော ဓာတ်မတည့်မှု ကော့တေးလ်၊ ZMapp သည် အစပိုင်းတွင် နယ်ပယ်တွင် ကတိပေးမှုကို ပြသခဲ့သည်၊ သို့သော် တရားဝင်လေ့လာမှုများက သေဆုံးမှုကို ကာကွယ်ရာတွင် ရှာဖွေထားသည်ထက် အကျိုးကျေးဇူး,တစ်ခုတည်းသော ဓာတ်အားပေးဆေး၊ ZMapp၊ အစောပိုင်းတွင် ဓာတ်အားပေးဆေး၏ အသုံးဝင်မှုကို ပြသခဲ့သော်လည်း၊ ဓာတ်အားပေးဆေး၏ အသုံးဝင်မှုကို အဓိကထားပြီး သေဆုံးမှုကို ကာကွယ်ရန် ဓာတ်အားပေးဆေး၏ အသုံ,ပဋိဇီဝကောက်တေးလ် ZMapp သည် အစပိုင်းတွင် ကောင်းမွန်သလိုပြသခဲ့ပြီး နောက်ပိုင်းလေ့လာချက်များအရ  သေခြင်းတရားကိုကာကွယ်ရန် ရှာဖွေခြင်းထက်ပင် အကျိုးရှိမှုမှာပိုမိုနည်ပါးနေသည်ကို ပြသနေသည်။
E-q4-emb8,mya_Mymr,19,rep,သူသည် NSA အဖြစ် ကာတာ့ကို ကမ္ဘာ့ကိစ္စရပ်များကို နိုင်ငံခြားရေးနည်းဖြင့် ကိုင်တွယ်ရာတွင် ကူညီခဲ့သည်၊ ဥပမာ - ကင်မဒီယာဒီယန်သဘောတူညီချက်၊ ၁၉၇၈; အမေရိကန်နှင့် တရုတ်နိုင်ငံ၏ ဆက်ဆံရေးကို ပ,အီရန်တော်လှန်ရေး၊ ၁၉၇၉ ခုနှစ်တွင် အီရန်တွင် အကျဉ်းသားများ အကျဉ်းချထားရသည့် အကျဉ်းသားများ အကျဉ်းချထားရသည့် အကျဉ်းသားများ အကျဉ်းချထားရသည့် အကျဉ်းသားများ အကျဉ်းချထားရသည့် အကျဉ်းသားမျာ,NSA အနေဖြင့် သူသည် ကာတာ ကို ၁၉၇၈ ခုနှစ်၊ ကမ့် ဒေးဗစ် သဘောတူညီချက်များ၊ ၁၉၇၀ ပြည့်နှစ်များတစ်လျှောက်လုံး အမေရိကန်-တရုတ် ဆက်ဆံရေးများကို ပုံမှန်ဖြစ်စေရန် ချိန်ညှိခြင်း၊ ၁၉၇၉ ခုနှစ်၏ 
E-q4-emb8,mya_Mymr,24,rep,တနင်္ဂနွေနေ့ညနေ၊ အမေရိကန်ပြည်ထောင်စုသမ္မတ ဒေါ်နယ်ထရမ့်က သတင်းထောက်များထံ ပေးပို့သော ထုတ်ပြန်ချက်တွင် အမေရိကန်တပ်များ ဆီးရီးယားမှ ထွက်ခွာမည်ဟု ကြေညာခဲ့သည်။,အမေရိကန်ပြည်ထောင်စုသမ္မတ ဒေါ်နယ်ထရမ့်က အမေရိကန်တပ်များက ဆီးရီးယားမှ ထွက်ခွာမည်ဟု ကြေညာခဲ့သည်,တနင်္ဂနွေနေ့နှောင်းပိုင်းတွင်၊ အမေရိကန်သမ္မတ ဒိုနန်လ်ထရန့် သည် သတင်းထုတ်ပြန်ရေးဆိုင်ရာအတွင်းရေးမှူးမှတဆင့် ထုတ်ပြန်သောကြေညာချက်တွင် US တပ်များသည် ဆီးရီးယားမှ ထွက်ခွာမည်ဖြစ်ကြောင်း 
